"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.<init>:(Lcom/fasterxml/aalto/in/ReaderConfig;)V","1","1","1","1","0","18","12","64.52932501298082","3.0","193.58797503894246","0.02150977500432694","0","0","0","10","8","ReaderConfig","","<init>","","","public","4"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.toString:()Ljava/lang/String;","1","0","0","0","0","35","18","145.94737505048093","3.0","437.8421251514428","0.04864912501682698","0","1","0","17","18","","","toString <init> append","","","public","1"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.parseCommentContents:()I","27","0","11","3","1","586","81","3715.1521016903903","100.0","371515.210169039","1.2383840338967969","3","0","3","352","234","byte[] char[] int[]","handleCommentPending reportInvalidInitial decodeUtf8_2 decodeUtf8_3 markLF decodeUtf8_4 reportDoubleHyphenInComments handleInvalidXmlChar","getBufferWithoutReset getCurrentLength finishCurrentSegment setCurrentLength","XMLStreamException","","protected","83"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleCommentPending:()I","4","0","1","0","0","133","40","707.8164366200192","22.0","15571.961605640423","0.23593881220667307","0","0","0","80","53","","reportDoubleHyphenInComments handleAndAppendPending","append","XMLStreamException","","protected","20"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.parsePIData:()I","25","0","11","3","2","547","76","3417.6163498536416","95.0","324673.55323609593","1.1392054499512139","6","0","3","328","219","byte[] char[] int[]","handlePIPending reportInvalidInitial decodeUtf8_2 decodeUtf8_3 markLF decodeUtf8_4 handleInvalidXmlChar","getBufferWithoutReset getCurrentLength finishCurrentSegment setCurrentLength","XMLStreamException","","protected","78"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handlePIPending:()I","2","0","1","0","0","82","36","423.9338501182696","20.0","8478.677002365392","0.14131128337275653","0","0","0","50","32","","handleAndAppendPending","append","XMLStreamException","","protected","13"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleDTDInternalSubset:(Z)Z","33","1","13","4","2","575","77","3603.402260899569","120.0","432408.2713079483","1.201134086966523","6","0","3","348","227","byte[] char[] int[]","reportInvalidInitial decodeUtf8_2 decodeUtf8_3 markLF handleAndAppendPending decodeUtf8_4 handleInvalidXmlChar","getBufferWithoutReset resetWithEmpty getCurrentLength finishCurrentSegment setCurrentLength","XMLStreamException","","protected final","84"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.parseCDataContents:()I","30","0","11","3","1","671","80","4242.013751669419","114.0","483589.5676903138","1.4140045838898065","6","0","6","399","272","byte[] char[] int[]","reportInvalidInitial handleCDataPending decodeUtf8_2 decodeUtf8_3 markLF decodeUtf8_4 handleInvalidXmlChar","getBufferWithoutReset getCurrentLength finishCurrentSegment setCurrentLength","XMLStreamException","","protected final","95"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleCDataPending:()I","4","0","1","0","0","180","40","957.9470570797253","44.0","42149.67051150791","0.31931568569324176","0","0","1","108","72","","handleAndAppendPending","append","XMLStreamException","","protected final","26"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.startCharactersPending:()I","10","0","9","0","0","498","62","2965.189762572664","96.0","284658.2172069758","0.9883965875242214","0","0","0","300","198","","throwInternal finishCharacters decodeUtf8_2 decodeUtf8_3 finishCharactersCoalescing markLF decodeUtf8_4","resetWithSurrogate resetWithChar","XMLStreamException","","protected","55"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.finishCharactersCoalescing:()I","2","0","0","0","0","19","16","76.0","5.0","380.0","0.025333333333333333","0","1","0","12","7","","handleAndAppendPending","<init>","XMLStreamException","UnsupportedOperationException","protected final","4"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.needMoreInput:()Z","3","0","0","0","0","18","12","64.52932501298082","4.0","258.1173000519233","0.02150977500432694","0","0","0","12","6","","","","","","public final","1"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.feedInput:([BII)V","1","3","3","1","0","104","36","537.6722001500004","16.0","8602.755202400007","0.17922406671666682","0","3","0","58","46","byte[]","","toString <init> append","XMLStreamException","XMLStreamException","public","11"
