"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/mozilla/hadoop/Backup$BackupMapper$ReportStats.values:()[Lcom/mozilla/hadoop/Backup$BackupMapper$ReportStats;","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","1","0","4","3","","","clone","","","public static","1"
"com/mozilla/hadoop/Backup$BackupMapper$ReportStats.valueOf:(Ljava/lang/String;)Lcom/mozilla/hadoop/Backup$BackupMapper$ReportStats;","1","1","1","1","0","8","8","24.0","2.0","48.0","0.008","0","1","0","4","4","String","","valueOf","","","public static","1"
"com/mozilla/hadoop/Backup$BackupMapper$ReportStats.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","","<init>","","","private","1"
"com/mozilla/hadoop/Backup$BackupMapper$ReportStats.<clinit>:()V","1","0","0","0","0","107","34","544.3585240137863","14.0","7621.019336193009","0.18145284133792877","0","8","0","67","40","","<init>","","","","static","1"
"com/mozilla/hadoop/Backup$BackupMapper.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"com/mozilla/hadoop/Backup$BackupMapper.setup:(Lorg/apache/hadoop/mapreduce/Mapper$Context;)V","2","1","4","4","0","142","41","760.772384655768","14.0","10650.81338518075","0.253590794885256","0","6","0","73","69","String IOException Configuration Mapper$Context","","getConfiguration compile get toUri endsWith toString <init> append","","RuntimeException","public","14"
"com/mozilla/hadoop/Backup$BackupMapper.cleanup:(Lorg/apache/hadoop/mapreduce/Mapper$Context;)V","1","1","1","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","Mapper$Context","","access$000","","","public","2"
"com/mozilla/hadoop/Backup$BackupMapper.copyFile:(Lorg/apache/hadoop/fs/Path;Lorg/apache/hadoop/mapreduce/Mapper$Context;)V","5","2","16","12","1","423","110","2868.515158820931","38.0","109003.57603519538","0.956171719606977","1","6","1","235","188","String FSDataOutputStream FSDataInputStream Path byte[] Exception Matcher Object[] FileNotFoundException Mapper$Context","","increment error find getLen get getFileStatus create humanReadableInt write group info getParent getCounter read access$100 access$000 format matcher <init> setStatus groupCount mkdirs exists progress toString append open","InterruptedException IOException","RuntimeException","private","53"
"com/mozilla/hadoop/Backup$BackupMapper.map:(Lorg/apache/hadoop/io/LongWritable;Lorg/apache/hadoop/io/Text;Lorg/apache/hadoop/mapreduce/Mapper$Context;)V","3","3","7","7","0","96","45","527.2178972476488","9.0","4744.961075228839","0.1757392990825496","0","3","1","53","43","Text Path LongWritable List Exception Mapper$Context","copyFile","next getCounter access$100 increment hasNext <init> error getAllPaths iterator size get toString write","InterruptedException IOException","","public","14"
"com/mozilla/hadoop/Backup$BackupMapper.map:(Ljava/lang/Object;Ljava/lang/Object;Lorg/apache/hadoop/mapreduce/Mapper$Context;)V","1","3","0","0","0","15","11","51.89147427955947","2.0","103.78294855911894","0.01729715809318649","0","2","0","8","7","","map","","IOException InterruptedException","","public volatile","1"
