"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/asteriskjava/AsteriskVersion.<init>:(ILjava/lang/String;)V","1","2","2","1","0","17","11","58.81033751683406","2.0","117.62067503366812","0.019603445838944685","0","0","0","9","8","String","","<init>","","","private","4"
"org/asteriskjava/AsteriskVersion.isAtLeast:(Lorg/asteriskjava/AsteriskVersion;)Z","2","1","1","1","0","13","10","43.18506523353572","3.0","129.55519570060716","0.014395021744511906","0","0","0","9","4","AsteriskVersion","","","","","public","1"
"org/asteriskjava/AsteriskVersion.compareTo:(Lorg/asteriskjava/AsteriskVersion;)I","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","AsteriskVersion","","compare","","","public","1"
"org/asteriskjava/AsteriskVersion.equals:(Ljava/lang/Object;)Z","3","1","2","2","0","40","19","169.9171005377434","12.0","2039.005206452921","0.056639033512581136","0","1","0","26","14","Object AsteriskVersion","","getClass","","","public","6"
"org/asteriskjava/AsteriskVersion.hashCode:()I","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/AsteriskVersion.toString:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/AsteriskVersion.compareTo:(Ljava/lang/Object;)I","1","1","0","0","0","9","8","27.0","2.0","54.0","0.009","0","1","0","5","4","","compareTo","","","","public volatile","1"
"org/asteriskjava/AsteriskVersion.<clinit>:()V","1","0","0","0","0","101","39","533.8256241050872","3.0","1601.4768723152615","0.17794187470169573","0","10","0","51","50","","<init>","","","","static","10"
"org/asteriskjava/Cli.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"org/asteriskjava/Cli.parseOptions:([Ljava/lang/String;)V","8","1","4","4","0","123","44","671.5100890923876","18.0","12087.181603662977","0.2238366963641292","0","2","0","71","52","String Integer NumberFormatException String[]","exit showHelp startAgiServer showVersion","println equals toString <init> append","Exception","","private","20"
"org/asteriskjava/Cli.showHelp:()V","1","0","0","0","0","24","12","86.03910001730776","2.0","172.07820003461552","0.028679700005769252","0","0","0","11","13","","showVersion","println","","","private","6"
"org/asteriskjava/Cli.showVersion:()V","1","0","0","0","0","21","16","84.0","3.0","252.0","0.028","0","1","0","11","10","","getVersion","println toString <init> append","","","private","2"
"org/asteriskjava/Cli.getVersion:()Ljava/lang/String;","0","0","4","4","0","79","29","383.7804986150783","5.0","1918.9024930753912","0.12792683287169276","0","1","0","43","36","String IOException InputStream Properties","","getClass getProperty load getResourceAsStream <init> close","","","private","23"
"org/asteriskjava/Cli.startAgiServer:()V","1","0","0","0","0","6","6","15.509775004326936","2.0","31.019550008653873","0.005169925001442312","0","0","0","4","2","","startAgiServer","","IOException","","private","2"
"org/asteriskjava/Cli.startAgiServer:(Ljava/lang/Integer;)V","2","1","2","2","0","23","15","89.85848369899593","4.0","359.4339347959837","0.02995282789966531","0","1","0","13","10","DefaultAgiServer Integer","","intValue startup <init> setPort","IOException","","private","5"
"org/asteriskjava/Cli.exit:(I)V","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","exit","","","private","2"
"org/asteriskjava/Cli.main:([Ljava/lang/String;)V","1","1","1","1","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","1","0","6","4","String[]","parseOptions <init>","","Exception","","public static","2"
"org/asteriskjava/config/Category.<init>:(Ljava/lang/String;)V","1","1","1","1","0","39","19","165.66917302429982","4.0","662.6766920971993","0.05522305767476661","0","3","0","22","17","String","","<init>","","IllegalArgumentException","public","7"
"org/asteriskjava/config/Category.<init>:(Ljava/lang/String;ILjava/lang/String;)V","1","3","3","2","0","33","17","134.8862737612612","3.0","404.6588212837836","0.044962091253753736","0","2","0","18","15","String","","<init>","","","public","5"
"org/asteriskjava/config/Category.getName:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/Category.isTemplate:()Z","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/Category.markAsTemplate:()V","1","0","0","0","0","6","6","15.509775004326936","2.0","31.019550008653873","0.005169925001442312","0","0","0","4","2","","","","","","","2"
"org/asteriskjava/config/Category.getBaseCategories:()Ljava/util/List;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/Category.addBaseCategory:(Lorg/asteriskjava/config/Category;)V","1","1","1","1","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","0","0","6","4","Category","","add","","","","2"
"org/asteriskjava/config/Category.getElements:()Ljava/util/List;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/Category.addElement:(Lorg/asteriskjava/config/ConfigElement;)V","1","1","1","1","0","22","19","93.45440529575887","5.0","467.2720264787944","0.031151468431919623","0","2","0","13","9","ConfigElement","","add <init>","","IllegalArgumentException","public","4"
"org/asteriskjava/config/Category.format:()Ljava/lang/String;","2","0","2","2","0","54","29","262.33097373688895","6.0","1573.9858424213337","0.08744365791229632","0","2","1","30","24","StringBuilder ConfigElement","format","next iterator format hasNext toString <init> append","","","public","7"
"org/asteriskjava/config/Category.rawFormat:(Ljava/lang/StringBuilder;)Ljava/lang/StringBuilder;","7","1","2","2","0","104","30","510.31662194328595","10.0","5103.166219432859","0.17010554064776198","0","1","2","56","48","StringBuilder Iterator","getName isTemplate getBaseCategories","next iterator isEmpty hasNext append","","","protected","14"
"org/asteriskjava/config/Category.toString:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
