"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/jakewharton/byteunits/BinaryByteUnit$1.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","0","0","6","4","","","<init>","","","","1"
"com/jakewharton/byteunits/BinaryByteUnit$1.convert:(JLcom/jakewharton/byteunits/BinaryByteUnit;)J","1","2","2","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","BinaryByteUnit","","toBytes","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$1.toBytes:(J)J","1","1","1","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$1.toKibibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$1.toMebibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$1.toGibibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$1.toTebibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$1.toPebibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$2.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","0","0","6","4","","","<init>","","","","1"
"com/jakewharton/byteunits/BinaryByteUnit$2.convert:(JLcom/jakewharton/byteunits/BinaryByteUnit;)J","1","2","2","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","BinaryByteUnit","","toKibibytes","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$2.toBytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$2.toKibibytes:(J)J","1","1","1","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$2.toMebibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$2.toGibibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$2.toTebibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$2.toPebibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$3.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","0","0","6","4","","","<init>","","","","1"
"com/jakewharton/byteunits/BinaryByteUnit$3.convert:(JLcom/jakewharton/byteunits/BinaryByteUnit;)J","1","2","2","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","BinaryByteUnit","","toMebibytes","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$3.toBytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$3.toKibibytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$3.toMebibytes:(J)J","1","1","1","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$3.toGibibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$3.toTebibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$3.toPebibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$4.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","0","0","6","4","","","<init>","","","","1"
"com/jakewharton/byteunits/BinaryByteUnit$4.convert:(JLcom/jakewharton/byteunits/BinaryByteUnit;)J","1","2","2","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","BinaryByteUnit","","toGibibytes","","","public","1"
