"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"su/litvak/chromecast/api/v2/AppEvent.<init>:(Ljava/lang/String;Ljava/lang/String;)V","1","2","2","2","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","String","","<init>","","","","4"
"su/litvak/chromecast/api/v2/AppEvent.toString:()Ljava/lang/String;","1","0","0","0","0","21","16","84.0","5.0","420.0","0.028","0","1","0","14","7","","","format","","","public final","1"
"su/litvak/chromecast/api/v2/Application.<init>:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ZZLjava/lang/String;Ljava/util/List;)V","2","8","8","6","0","59","27","280.5383626276447","4.0","1122.1534505105788","0.09351278754254823","0","0","0","31","28","String List","","emptyList <init>","","","public","10"
"su/litvak/chromecast/api/v2/Application.toString:()Ljava/lang/String;","2","0","1","1","0","85","38","446.07383864270474","9.0","4014.6645477843426","0.14869127954756825","0","1","0","54","31","String","","valueOf toArray format toString","","","public final","4"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$1.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$1.parsePartialFrom:(Lcom/google/protobuf/CodedInputStream;Lcom/google/protobuf/ExtensionRegistryLite;)Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge;","1","2","2","2","0","11","10","36.541209043760986","3.0","109.62362713128296","0.012180403014586996","0","1","0","7","4","CodedInputStream ExtensionRegistryLite","","<init>","InvalidProtocolBufferException","","public","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$1.parsePartialFrom:(Lcom/google/protobuf/CodedInputStream;Lcom/google/protobuf/ExtensionRegistryLite;)Ljava/lang/Object;","1","2","0","0","0","9","7","25.26619429851844","1.0","25.26619429851844","0.008422064766172813","0","0","0","5","4","","parsePartialFrom","","InvalidProtocolBufferException","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.<init>:()V","1","0","0","0","0","15","10","49.82892142331044","2.0","99.65784284662088","0.016609640474436815","0","0","0","8","7","","maybeForceBuilderInitialization","<init>","","","private","4"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.maybeForceBuilderInitialization:()V","1","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","private","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.create:()Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder;","1","0","0","0","0","6","6","15.509775004326936","2.0","31.019550008653873","0.005169925001442312","0","1","0","4","2","","<init>","","","","private static","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.clear:()Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder;","1","0","0","0","0","25","15","97.67226489021297","4.0","390.6890595608519","0.03255742163007099","0","0","0","14","11","","","clear","","","public","4"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.clone:()Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder;","1","0","0","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","buildPartial mergeFrom create","","","","public","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.getDefaultInstanceForType:()Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge;","1","0","0","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","getDefaultInstance","","","public","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.build:()Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge;","1","0","1","1","0","19","12","68.11428751370197","3.0","204.3428625411059","0.022704762504567322","0","0","0","11","8","CastChannel$AuthChallenge","buildPartial newUninitializedMessageException","isInitialized","","","public","4"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.buildPartial:()Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge;","2","0","3","1","0","50","27","237.74437510817344","8.0","1901.9550008653875","0.07924812503605781","0","1","0","31","19","CastChannel$AuthChallenge","","<init> access$1502 access$1602","","","public","8"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.mergeFrom:(Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge;)Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder;","2","1","1","1","0","40","17","163.4985136500136","3.0","490.4955409500408","0.05449950455000453","0","0","0","23","17","CastChannel$AuthChallenge","setUnknownFields getUnknownFields setSignatureAlgorithm","getDefaultInstance getSignatureAlgorithm concat hasSignatureAlgorithm access$1700","","","public","7"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.isInitialized:()Z","1","0","0","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public final","1"
