"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"net/wouterdanes/docker/maven/AbstractDockerMojo.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"net/wouterdanes/docker/maven/AbstractDockerMojo.setProviderName:(Ljava/lang/String;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","String","","","","","public","2"
"net/wouterdanes/docker/maven/AbstractDockerMojo.setSkip:(Z)V","1","1","1","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","","","","public","2"
"net/wouterdanes/docker/maven/AbstractDockerMojo.execute:()V","1","0","0","0","0","40","21","175.69269691115042","4.0","702.7707876446017","0.05856423230371681","0","1","0","21","19","","doExecute getLog","toString <init> append info","MojoExecutionException MojoFailureException","","public final","6"
"net/wouterdanes/docker/maven/AbstractDockerMojo.doExecute:()V","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","MojoExecutionException MojoFailureException","","protected abstract","1"
"net/wouterdanes/docker/maven/AbstractDockerMojo.registerStartedContainer:(Ljava/lang/String;Lnet/wouterdanes/docker/remoteapi/model/ContainerInspectionResult;)V","1","2","4","4","0","28","18","116.75790004038474","4.0","467.03160016153896","0.03891930001346158","0","1","0","15","13","String StartedContainerInfo ContainerInspectionResult Map","obtainMapFromPluginContext","<init> put","","","protected","4"
"net/wouterdanes/docker/maven/AbstractDockerMojo.getStartedContainers:()Ljava/util/Collection;","1","0","1","1","0","12","10","39.863137138648355","2.0","79.72627427729671","0.013287712379549451","0","0","0","6","6","Map","obtainMapFromPluginContext","values","","","protected","2"
"net/wouterdanes/docker/maven/AbstractDockerMojo.getInfoForContainerStartId:(Ljava/lang/String;)Ljava/util/Optional;","1","1","2","2","0","16","13","59.207035490257475","3.0","177.62110647077242","0.019735678496752493","0","0","0","8","8","String Map","obtainMapFromPluginContext","ofNullable get","","","protected","2"
"net/wouterdanes/docker/maven/AbstractDockerMojo.registerBuiltImage:(Ljava/lang/String;Lnet/wouterdanes/docker/provider/model/ImageBuildConfiguration;)V","2","2","4","4","0","43","23","194.51316411045156","5.0","972.5658205522577","0.06483772137015052","0","1","0","23","20","String BuiltImageInfo ImageBuildConfiguration Map","obtainMapFromPluginContext enqueueForPushing","isPush <init> put getStartId","MojoFailureException","","protected","6"
"net/wouterdanes/docker/maven/AbstractDockerMojo.getBuiltImages:()Ljava/util/Collection;","1","0","1","1","0","14","12","50.18947501009619","3.0","150.56842503028855","0.016729825003365395","0","0","0","7","7","Map","obtainMapFromPluginContext","unmodifiableCollection values","","","protected","2"
"net/wouterdanes/docker/maven/AbstractDockerMojo.cleanUpStartedContainers:()V","6","0","12","12","1","332","81","2104.8302009576955","20.0","42096.60401915391","0.7016100669858986","1","13","2","178","154","String StartedContainerInfo Optional IOException Path List DockerException Iterator","getDockerProvider getLog getStartedContainers","next ofNullable resolve stopContainer isPresent getId error getContainerInfo getBytes remove iterator get copy map info add getLogs format hasNext <init> stripToNull getContainerId deleteContainer toString isDebugEnabled append","","","protected","35"
"net/wouterdanes/docker/maven/AbstractDockerMojo.getLogDirectory:(Ljava/lang/String;)Ljava/nio/file/Path;","0","1","2","2","0","26","19","110.44611534953322","4.0","441.78446139813286","0.03681537178317774","0","2","0","15","11","String IOException","getLog","get error createDirectories","","","private","4"
"net/wouterdanes/docker/maven/AbstractDockerMojo.getDockerProvider:()Lnet/wouterdanes/docker/provider/DockerProvider;","1","0","1","1","0","56","25","260.05594662738457","4.0","1040.2237865095383","0.08668531554246152","0","1","0","29","27","DockerProvider","getLog getCredentials","setRepositorySystem setLogger get setRemoteRepositories setRepositorySystemSession <init> setCredentials","","","protected","7"
"net/wouterdanes/docker/maven/AbstractDockerMojo.getCredentials:()Lnet/wouterdanes/docker/remoteapi/model/Credentials;","1","0","0","0","0","31","24","142.13383752235586","7.0","994.936862656491","0.047377945840785286","0","2","0","20","11","","getCredentialsFromSettings getCredentialsFromParameters","filter of findFirst map orElse","","","protected","5"
"net/wouterdanes/docker/maven/AbstractDockerMojo.getCredentialsFromParameters:()Ljava/util/Optional;","1","0","0","0","0","60","28","288.44129532345625","5.0","1442.2064766172812","0.09614709844115209","0","2","0","32","28","","getLog","debug of isBlank toString <init> append empty","","","private","5"
"net/wouterdanes/docker/maven/AbstractDockerMojo.getCredentialsFromSettings:()Ljava/util/Optional;","1","0","1","1","0","103","34","524.008672648785","12.0","6288.10407178542","0.174669557549595","0","3","0","54","49","Server","getLog getEmail","getServer getPassword debug of toString <init> append empty getUsername","","","private","9"
"net/wouterdanes/docker/maven/AbstractDockerMojo.getEmail:(Lorg/apache/maven/settings/Server;)Ljava/lang/String;","2","1","3","3","0","28","15","109.39293667703852","3.0","328.1788100311156","0.03646431222567951","0","1","0","16","12","Xpp3Dom Server","","getValue getConfiguration getChild","","","private","6"
"net/wouterdanes/docker/maven/AbstractDockerMojo.getBuiltImageForStartId:(Ljava/lang/String;)Ljava/util/Optional;","1","1","2","2","0","16","13","59.207035490257475","3.0","177.62110647077242","0.019735678496752493","0","0","0","8","8","String Map","obtainMapFromPluginContext","ofNullable get","","","protected","2"
"net/wouterdanes/docker/maven/AbstractDockerMojo.registerPluginError:(Lnet/wouterdanes/docker/maven/DockerPluginError;)V","1","1","2","2","0","15","12","53.77443751081735","3.0","161.32331253245206","0.017924812503605784","0","0","0","8","7","List DockerPluginError","obtainListFromPluginContext","add","","","protected","3"
"net/wouterdanes/docker/maven/AbstractDockerMojo.getPluginErrors:()Ljava/util/List;","1","0","1","1","0","12","10","39.863137138648355","2.0","79.72627427729671","0.013287712379549451","0","0","0","6","6","List","obtainListFromPluginContext","unmodifiableList","","","protected","2"
