"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"spark/Access.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","private","2"
"spark/Access.changeMatch:(Lspark/Request;Lspark/routematch/RouteMatch;)V","1","2","2","2","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","Request RouteMatch","","changeMatch","","","public static","2"
"spark/CustomErrorPages$SingletonHolder.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","private","1"
"spark/CustomErrorPages$SingletonHolder.access$100:()Lspark/CustomErrorPages;","1","0","0","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","static","1"
"spark/CustomErrorPages$SingletonHolder.<clinit>:()V","1","0","0","0","0","9","9","28.529325012980813","3.0","85.58797503894243","0.009509775004326938","0","1","0","6","3","","","<init>","","","static","1"
"spark/CustomErrorPages.existsFor:(I)Z","1","1","1","0","0","11","10","36.541209043760986","2.0","73.08241808752197","0.012180403014586996","0","0","0","6","5","","getInstance","valueOf containsKey","","","public static","1"
"spark/CustomErrorPages.getFor:(ILspark/Request;Lspark/Response;)Ljava/lang/Object;","3","3","6","5","0","66","31","326.9769564855338","6.0","1961.8617389132028","0.10899231882851126","0","3","0","35","31","Request Object Exception Response","getInstance getDefaultFor","warn valueOf get getMessage handle","","Exception","public static","10"
"spark/CustomErrorPages.getDefaultFor:(I)Ljava/lang/String;","2","1","2","1","0","38","26","178.61670928936152","6.0","1071.700255736169","0.05953890309645384","0","2","0","20","18","String","","valueOf get toString <init> append","","","public","2"
"spark/CustomErrorPages.add:(ILjava/lang/String;)V","1","2","2","1","0","14","13","51.80615605397529","3.0","155.4184681619259","0.01726871868465843","0","0","0","8","6","String","getInstance","valueOf put","","","static","2"
"spark/CustomErrorPages.add:(ILspark/Route;)V","1","2","2","1","0","14","13","51.80615605397529","3.0","155.4184681619259","0.01726871868465843","0","0","0","8","6","Route","getInstance","valueOf put","","","static","2"
"spark/CustomErrorPages.<init>:()V","1","0","0","0","0","47","23","212.60741193467962","5.0","1063.037059673398","0.07086913731155987","0","2","0","25","22","","","valueOf <init> put","","","private","6"
"spark/CustomErrorPages.getInstance:()Lspark/CustomErrorPages;","1","0","0","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","access$100","","","private static","1"
"spark/CustomErrorPages.<init>:(Lspark/CustomErrorPages$1;)V","1","1","1","1","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","CustomErrorPages$1","<init>","","","","","1"
"spark/CustomErrorPages.<clinit>:()V","1","0","0","0","0","6","6","15.509775004326936","1.0","15.509775004326936","0.005169925001442312","0","0","0","3","3","","","getLogger","","","static","1"
"spark/embeddedserver/EmbeddedServer.ignite:(Ljava/lang/String;ILspark/ssl/SslStores;III)I","2","6","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","Exception","","public abstract","1"
"spark/embeddedserver/EmbeddedServer.configureWebSockets:(Ljava/util/Map;Ljava/util/Optional;)V","1","2","2","2","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","0","0","5","5","Optional Map","","getClass raise getSimpleName","","NotSupportedException","public","2"
"spark/embeddedserver/EmbeddedServer.join:()V","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","InterruptedException","","public abstract","1"
"spark/embeddedserver/EmbeddedServer.extinguish:()V","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
