"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/mybatis/logging/Logger.<init>:(Lorg/apache/ibatis/logging/Log;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","Log","","<init>","","","","3"
"org/mybatis/logging/Logger.error:(Ljava/util/function/Supplier;Ljava/lang/Throwable;)V","1","2","2","2","0","15","12","53.77443751081735","2.0","107.5488750216347","0.017924812503605784","0","1","0","8","7","Supplier Throwable","","get error","","","public","2"
"org/mybatis/logging/Logger.error:(Ljava/util/function/Supplier;)V","1","1","1","1","0","13","11","44.97261104228487","2.0","89.94522208456974","0.01499087034742829","0","1","0","7","6","Supplier","","get error","","","public","2"
"org/mybatis/logging/Logger.warn:(Ljava/util/function/Supplier;)V","1","1","1","1","0","13","11","44.97261104228487","2.0","89.94522208456974","0.01499087034742829","0","1","0","7","6","Supplier","","warn get","","","public","2"
"org/mybatis/logging/Logger.debug:(Ljava/util/function/Supplier;)V","2","1","1","1","0","20","13","74.00879436282185","3.0","222.02638308846554","0.024669598120940616","0","1","0","11","9","Supplier","","debug get isDebugEnabled","","","public","3"
"org/mybatis/logging/Logger.trace:(Ljava/util/function/Supplier;)V","2","1","1","1","0","20","13","74.00879436282185","3.0","222.02638308846554","0.024669598120940616","0","1","0","11","9","Supplier","","trace get isTraceEnabled","","","public","3"
"org/mybatis/logging/LoggerFactory.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"org/mybatis/logging/LoggerFactory.getLogger:(Ljava/lang/Class;)Lorg/mybatis/logging/Logger;","1","1","1","1","0","10","10","33.219280948873624","3.0","99.65784284662087","0.01107309364962454","0","1","0","6","4","Class","","getLog <init>","","","public static","1"
"org/mybatis/logging/LoggerFactory.getLogger:(Ljava/lang/String;)Lorg/mybatis/logging/Logger;","1","1","1","1","0","10","10","33.219280948873624","3.0","99.65784284662087","0.01107309364962454","0","1","0","6","4","String","","getLog <init>","","","public static","1"
"org/mybatis/spring/annotation/MapperScan.value:()[Ljava/lang/String;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/mybatis/spring/annotation/MapperScan.basePackages:()[Ljava/lang/String;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/mybatis/spring/annotation/MapperScan.basePackageClasses:()[Ljava/lang/Class;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/mybatis/spring/annotation/MapperScan.nameGenerator:()Ljava/lang/Class;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/mybatis/spring/annotation/MapperScan.annotationClass:()Ljava/lang/Class;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/mybatis/spring/annotation/MapperScan.markerInterface:()Ljava/lang/Class;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/mybatis/spring/annotation/MapperScan.sqlSessionTemplateRef:()Ljava/lang/String;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/mybatis/spring/annotation/MapperScan.sqlSessionFactoryRef:()Ljava/lang/String;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/mybatis/spring/annotation/MapperScan.factoryBean:()Ljava/lang/Class;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/mybatis/spring/annotation/MapperScannerRegistrar$RepeatingRegistrar.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","","1"
"org/mybatis/spring/annotation/MapperScannerRegistrar$RepeatingRegistrar.registerBeanDefinitions:(Lorg/springframework/core/type/AnnotationMetadata;Lorg/springframework/beans/factory/support/BeanDefinitionRegistry;)V","2","2","3","3","0","28","19","118.94197037642039","3.0","356.82591112926116","0.039647323458806796","0","0","0","14","14","AnnotationMetadata BeanDefinitionRegistry AnnotationAttributes","","fromMap getAnnotationAttributes getName stream forEach getAnnotationArray","","","public","6"
"org/mybatis/spring/annotation/MapperScannerRegistrar$RepeatingRegistrar.lambda$registerBeanDefinitions$0:(Lorg/springframework/beans/factory/support/BeanDefinitionRegistry;Lorg/springframework/core/annotation/AnnotationAttributes;)V","1","2","2","2","0","9","7","25.26619429851844","1.0","25.26619429851844","0.008422064766172813","0","0","0","5","4","BeanDefinitionRegistry AnnotationAttributes","registerBeanDefinitions","","","","private","1"
"org/mybatis/spring/annotation/MapperScannerRegistrar.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"org/mybatis/spring/annotation/MapperScannerRegistrar.setResourceLoader:(Lorg/springframework/core/io/ResourceLoader;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","ResourceLoader","","","","","public","2"
