"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/zeroturnaround/zip/ByteSource.<init>:(Ljava/lang/String;[B)V","1","2","2","2","0","11","9","34.86917501586544","2.0","69.73835003173087","0.011623058338621813","0","0","0","6","5","String byte[]","<init>","currentTimeMillis","","","public","2"
"org/zeroturnaround/zip/ByteSource.<init>:(Ljava/lang/String;[BJ)V","1","3","3","2","0","12","10","39.863137138648355","2.0","79.72627427729671","0.013287712379549451","0","0","0","7","5","String byte[]","<init>","","","","public","2"
"org/zeroturnaround/zip/ByteSource.<init>:(Ljava/lang/String;[BI)V","1","3","3","2","0","13","11","44.97261104228487","2.0","89.94522208456974","0.01499087034742829","0","0","0","7","6","String byte[]","<init>","currentTimeMillis","","","public","2"
"org/zeroturnaround/zip/ByteSource.<init>:(Ljava/lang/String;[BJI)V","2","4","5","3","0","66","33","332.93001187765793","7.0","2330.5100831436057","0.11097667062588598","0","3","0","35","31","CRC32 String byte[]","","getValue clone update <init>","","","public","12"
"org/zeroturnaround/zip/ByteSource.getPath:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/zeroturnaround/zip/ByteSource.getEntry:()Ljava/util/zip/ZipEntry;","4","0","1","1","0","66","29","320.6267456784198","14.0","4488.774439497877","0.1068755818928066","0","1","0","37","29","ZipEntry","","setCrc setMethod setSize <init> setTime","","","public","9"
"org/zeroturnaround/zip/ByteSource.getInputStream:()Ljava/io/InputStream;","1","0","0","0","0","17","12","60.94436251225966","4.0","243.77745004903863","0.020314787504086555","0","1","0","11","6","","","<init>","IOException","","public","3"
"org/zeroturnaround/zip/ByteSource.toString:()Ljava/lang/String;","1","0","0","0","0","20","15","78.13781191217038","3.0","234.41343573651113","0.026045937304056792","0","1","0","10","10","","","toString <init> append","","","public","1"
"org/zeroturnaround/zip/CloseShieldInputStream.<init>:(Ljava/io/InputStream;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","InputStream","","<init>","","","public","2"
"org/zeroturnaround/zip/CloseShieldInputStream.close:()V","1","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","IOException","","public","1"
"org/zeroturnaround/zip/commons/FileExistsException.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","IOException","public","2"
